sentence;precision;complexity;clearness;grammaticality
"Sie sagten: Gehen Sie nicht mit diesem Hut nach draußen.""";-2,01;-1,89;-1,95;-1,45
"Warren hat geantwortet, dass es an der Zeit ist "" für Frauen, nach Washington zu gehen, um unsere kaputte Regierung zu reparieren, und das beinhaltet eine Frau an der Spitze.""";-0,48;0,45;0,32;-0,20
„Hans“ Geiger starb 1945, nur wenige Tage vor seinem 63. Geburtstag.;-2,18;-1,90;-1,83;-2,05
„So oft spreche ich mit einer weißen Person und sie sagen: „Wie könntest du Trump mögen, er ist rassistisch?“;-0,04;-0,46;0,28;0,78
Anfang 2018 zitierte die Gruppe 390 Zusagen und Ankündigungen aus ihren Maßnahmen, von denen mindestens 10 Mrd. USD bereits ausgezahlt oder gesammelt wurden.;-0,04;-0,09;0,21;-0,68
Bats sind nicht wirklich blind.;-1,49;-2,27;-1,45;-1,63
Bewohner wurden dabei beobachtet, wie sie in ihre zerstörten Häuser zurückkehrten, Staunässe durchwühlten und versuchten, alles zu retten, was sie finden konnten.;-1,11;-0,45;-0,55;-1,72
BMW zum Beispiel sagt, dass es sein Mini-Werk in Oxford für einen Monat nach dem Brexit schließen wird.;-1,66;-1,16;-1,33;-1,56
Christion Abercrombie unternimmt Notoperation nach erlittener Kopfverletzung;-0,57;-1,40;-0,58;-0,38
Climo verwandelte, wie schon fast vom Neustart an, nachdem Kyle Rowe David Armstrongs Box Kick gesammelt und Flanker Gregor Henry für den fünften Versuch der Heimmannschaft weggeschickt hatte.;0,77;1,84;1,82;0,41
Das Finanzministerium geht davon aus, dass sich der Schritt auf 120 Millionen Pfund pro Jahr erhöhen wird.;-1,58;-1,29;-1,45;-1,88
Das war das erste mal, dass die Navy nach der Lieferung ein Schiff zu einer werft zurück gebracht hat.;-1,39;-1,32;-1,33;0,13
Der 6-Fuß-6-Stürmer wuchs in Baton Rouge auf, wo sein Vater Wayne ebenfalls für die LSU spielte.;-1,35;-0,94;-0,65;-0,93
Der Fall liegt derzeit vor Alaska 's Veteran' s Court.;-1,58;-1,66;-1,57;-0,53
Der Schauspieler hat kürzlich verraten, dass er es für das Beste hält, seine Frau Rose zu treffen, um aus Game of Thrones herauszukommen.;-1,03;-0,01;-0,67;-1,76
Die Labour Party wäre nicht die erste, die eine solche Idee befürwortet, mit der grünen Party, die eine vier-Tage-Arbeitswoche während ihrer 2017 allgemeinen Wahlkampagne geschworen hat.;0,25;1,20;1,12;0,60
Die Labour-Partei ist keine breite Kirche mehr.;-0,55;-1,05;-0,28;-1,08
Die Stadt Palu mit mehr als 380.000 Einwohnern war mit Trümmern eingestürzter Gebäude übersät.;-2,17;-1,90;-1,95;-1,69
Du gehst morgen voll in die Langeweile.;0,38;-1,62;0,38;0,69
Er bietet viel mehr als nur Spielplatz .;0,56;-1,22;-0,18;0,55
Er erklärte den Ermittlern, dass er sich gut fühlte über das, was er getan hatte, sagte die Polizei.;-0,44;0,45;0,02;-0,02
Er stellte fest , dass Kim an einer zweiten Sitzung interessiert ist , nachdem das erste Treffen in Singapur im Juni von Trumpf als großer Schritt hin zur Verleuuchung der Nordko-Korea.;0,79;1,13;1,45;1,37
Er wurde am Montag in Wasilla, Alaska, verhaftet und wegen Körperverletzung wegen Gewalttätigkeit gegen eine Frau angeklagt, wobei er Berichten zufolge über häusliche Gewalt und den Besitz einer Waffe beraubt wurde.;0,60;1,40;1,50;1,24
 es gab keine Zeit, uns zu retten.;-1,49;-1,53;-1,85;-0,56
Fünf der Opfer waren Touristen aus Argentinien.;-2,23;-2,26;-2,19;-2,41
Geht es in den Donnerstag, ist es eine weitere große europäische Nacht.;0,40;-0,33;0,34;0,17
Harvard-Studenten nehmen Kurs darauf, genug Ruhe zu bekommen;-0,51;-0,78;-0,28;-0,50
 ich meine natürlich, sagte Kennedy.;0,40;-1,30;0,04;-0,15
Ich wollte mein Land als Spielerspielerin spielen .;0,71;-0,38;1,39;0,91
