sentence;precision;complexity;clearness;grammaticality
Man muss seine Kappe kippen.;-0,235294118;-1,470588235;0,411764706;-0,470588235
Methode besteht darin, Immunzellen von einem Patienten zu extrahieren, sie im Labor zu verändern;-1;-0,294117647;0;0,882352941
Obwohl es selten ist, wurden Fälle von Schweinen, die Menschen angreifen, zuvor aufgenommen.;-1,5625;-0,375;-0,75;-1,625
Ryder Cup 2018: Team USA zeigt Magen für Kampf um die Hoffnung im Einzel am Sonntag;0,875;1;2,0625;0,75
Seine Nachrichten führten jedoch nur zu einem grauen Häkchen und nicht zu einem blauen Haken.;-0,625;-1,4375;-0,6875;-1,3125
Um 6 Uhr morgens, gerade als Gegard Mousasi und Rory MacDonald sich darauf vorbereiteten, einander gegenüberzutreten, waren die Zuschauer im Vereinigten Königreich fassungslos, als die Berichterstattung auf Peppa Pig umgestellt wurde.;-1,882352941;-0,117647059;-0,647058824;-1,764705882
Und ich tat. ;-0,375;-2,75;-0,6875;0,0625
Und weit davon entfernt, boliviens Sache zu fördern, haben die letzten vier Jahre es vielleicht wieder geschafft.;0,6875;0,1875;0,5;0,375
Versuchen Sie die Liebe „.;0,235294118;-1,647058824;0;0,117647059
Wir haben ein Ziel, und das ist zu versuchen, diese Trophäe zu gewinnen, und das ist, wo der Fokus bleibt.;-0,1875;1,625;1,25;0,75
Zwanzig Prozent der Schüler gaben an, ein desinfiziertes „Hauptkonto“ zu betreiben, um den Eltern zu zeigen, aber auch ein privates zu haben.;-0,470588235;-0,117647059;0,764705882;0,882352941
