sentence;precision;complexity;clearness;grammaticality;;;;
Wir sind ein armes Land, aber wir haben Würde.;-2,13;-2,87;-2,78;-2,74;;;;
Das Zentrum überwachte mehrere Rumpeln und Erschütterungen.;0,09;-1,65;-0,22;-0,22;;;;
Verzweifelte Rettungsbemühungen in Palu, während die Zahl der Todesopfer sich verdoppelt im Wettlauf, Überlebende zu finden.;0,83;0,57;1,13;0,96;;;;
"In vielen reichen Gebieten des Landes sind manche ""Geisterstädte"" geworden, da viele wohlhabende Ausländer ihr Leben im Ausland verbringen.";0,43;-0,91;0,61;0,22;;;;
"Eine Quelle, die Jones nahesteht, sagte gestern Abend: ""Wir werden zu seinen Geschäftsangelegenheiten keine Stellung nehmen.""";-2,57;-2,39;-2,48;-2,39;;;;
Diejenigen, die den Umzug der Kinder in die Zeltstadt ohne genügend Zeit zur Vorbereitung oder Abschied von Freunden befürworteten, befürchteten, dass das traumatisierend sein könnte, was viele schon haben.;1,17;1,48;1,83;0,35;;;;
Das ist nicht nur finanzieller Art, sondern wer ist der Arzt? wurde Martin gefragt.;1,65;-0,13;1,43;1,48;;;;
Da China im Bereich der künstlichen Intelligenz aktiver wird, sollte die USA ihre Ausgaben für Forschung in diesem Bereich verdoppeln, sagt Investor und KI-Praktiker Kai-Fu Lee, der für Google, Microsoft und Apple gearbeitet hat.;-2,39;-1,83;-2,04;-1,87;;;;
Seine Anwälte bereiten eine Klage gegen das deutsche Nachrichtenmagazin Der Spiegel vor, das die Vorwürfe veröffentlicht hat.;-2,35;-1,74;-2,04;-0,74;;;;
Atemwegsbeschwerden wurden in Northwest Florida in der vergangenen Woche nicht gemeldet.;-2,57;-2,48;-2,22;-1,74;;;;
Die Tatsache, dass eine schnelle politische Entscheidung entweder in Washington oder Peking die Bedingungen schaffen könnte, die eine wirtschaftliche Talfahrt in einem der beiden Länder auslösen, ist tatsächlich viel gefährlicher, als Beobachter zuvor anerkannt haben, sagte Abigail Grace, eine Forschungsmitarbeiterin, die sich auf Asien am Center for a New American Security, einem Think Tank, konzentriert.;-1,52;1,70;0,87;-0,96;;;;
Dieser Lauf und die Art und Weise, wie ihre Energie sowohl zu diesem ausgelassenen Publikum zu fließen scheint als auch von ihm ausgeht, untermauern, dass sie die Spieler sind, die es am Sonntag zu schlagen gilt, und es gäbe keinen beliebteren Spieler, um einen potenziellen europäischen Sieg zu besiegeln, wenn die Sonne über Le Golf National untergeht, als Fleetwood oder Molinari.;0,65;2,43;2,09;0,26;;;;
"""Es wird nicht über Nacht geschehen, aber eine Vier-Tage-Woche ist eine Zielsetzung, die mit dem Ansatz der Partei zur Neugewichtung der Wirtschaft zugunsten der Arbeitnehmer sowie mit der allgemeinen Industriestrategie der Partei in Einklang steht.""";-1,22;0,43;-0,04;-1,70;;;;
