sentence;precision;complexity;clearness;grammaticality
"Sie sagten: Gehen Sie nicht mit diesem Hut nach draußen.""";-2,4375;-2,3125;-2,3125;-1,5625
"Warren hat geantwortet, dass es an der Zeit ist "" für Frauen, nach Washington zu gehen, um unsere kaputte Regierung zu reparieren, und das beinhaltet eine Frau an der Spitze.""";-0,8125;1;0,3125;-0,625
„Hans“ Geiger starb 1945, nur wenige Tage vor seinem 63. Geburtstag.;-2,4375;-2,4375;-2,4375;-2,4375
„So oft spreche ich mit einer weißen Person und sie sagen: „Wie könntest du Trump mögen, er ist rassistisch?“;-0,3125;-0,8125;-0,4375;0,5625
Anfang 2018 zitierte die Gruppe 390 Zusagen und Ankündigungen aus ihren Maßnahmen, von denen mindestens 10 Mrd. USD bereits ausgezahlt oder gesammelt wurden.;-0,3125;-0,5;0,1875;-0,5
Bats sind nicht wirklich blind.;-1,625;-2,6875;-2,125;-2,25
Bekanntlich gibt es keine Anzeichen für die Betrachtung von Betrachtungen .;0,588235294;0;1,411764706;-0,588235294
Bewohner wurden dabei beobachtet, wie sie in ihre zerstörten Häuser zurückkehrten, Staunässe durchwühlten und versuchten, alles zu retten, was sie finden konnten.;-1,25;-0,5625;-0,375;-1,625
BMW zum Beispiel sagt, dass es sein Mini-Werk in Oxford für einen Monat nach dem Brexit schließen wird.;-1,75;-1,5625;-1,3125;-1,6875
Christion Abercrombie unternimmt Notoperation nach erlittener Kopfverletzung;-0,588235294;-1,764705882;-0,352941176;-0,235294118
Climo verwandelte, wie schon fast vom Neustart an, nachdem Kyle Rowe David Armstrongs Box Kick gesammelt und Flanker Gregor Henry für den fünften Versuch der Heimmannschaft weggeschickt hatte.;0,470588235;1,882352941;1,588235294;-0,176470588
Das Finanzministerium geht davon aus, dass sich der Schritt auf 120 Millionen Pfund pro Jahr erhöhen wird.;-2,1875;-1,625;-1,8125;-2,5
Das war das erste mal, dass die Navy nach der Lieferung ein Schiff zu einer werft zurück gebracht hat.;-1,294117647;-1,470588235;-1,294117647;-0,176470588
Der 6-Fuß-6-Stürmer wuchs in Baton Rouge auf, wo sein Vater Wayne ebenfalls für die LSU spielte.;-2,3125;-2,1875;-1,625;-1,75
Der Fall liegt derzeit vor Alaska 's Veteran' s Court.;-2,0625;-2,25;-2,1875;-0,75
Der Schauspieler hat kürzlich verraten, dass er es für das Beste hält, seine Frau Rose zu treffen, um aus Game of Thrones herauszukommen.;-1,375;0,125;-0,6875;-2,3125
Die Labour Party wäre nicht die erste, die eine solche Idee befürwortet, mit der grünen Party, die eine vier-Tage-Arbeitswoche während ihrer 2017 allgemeinen Wahlkampagne geschworen hat.;0,0625;0,9375;1,0625;0,875
Die Labour-Partei ist keine breite Kirche mehr.;-1;-1,5625;-0,75;-1,25
Die Stadt Palu mit mehr als 380.000 Einwohnern war mit Trümmern eingestürzter Gebäude übersät.;-2,352941176;-1,941176471;-2,176470588;-1,882352941
Du gehst morgen voll in die Langeweile.;0,625;-2,0625;0,6875;0,3125
Er bietet viel mehr als nur Spielplatz .;0,823529412;-1,647058824;0,058823529;0,529411765
Er erklärte den Ermittlern, dass er sich gut fühlte über das, was er getan hatte, sagte die Polizei.;-0,75;0,375;0,1875;-0,125
Er stellte fest , dass Kim an einer zweiten Sitzung interessiert ist , nachdem das erste Treffen in Singapur im Juni von Trumpf als großer Schritt hin zur Verleuuchung der Nordko-Korea.;0,294117647;1,117647059;1,470588235;1,529411765
Er wurde am Montag in Wasilla, Alaska, verhaftet und wegen Körperverletzung wegen Gewalttätigkeit gegen eine Frau angeklagt, wobei er Berichten zufolge über häusliche Gewalt und den Besitz einer Waffe beraubt wurde.;0,625;1,9375;1,8125;1,75
 es gab keine Zeit, uns zu retten.;-1,411764706;-2,058823529;-1,941176471;-1,117647059
