sentence;precision;complexity;clearness;grammaticality
Er kam schließlich in der 44. Runde in die Box, konnte aber in den verbleibenden acht Runden sein Tempo nicht erhöhen, da Raikkonen Vierter wurde.;-1,80;-1,67;-1,40;-1,80
Das ist der Grund, warum die Investition in den Sprachunterricht jetzt wichtig ist für die heutigen Kinder.;-2,07;-2,13;-2,27;-1,73
„Wir weinen, wenn wir wütend werden“, sagte Frau Steinem 45 Jahre später zu mir.;-2,07;-2,33;-2,13;-2,47
„Nach dem 6. November werde ich einen harten Blick auf die Kandidatur für das Präsidentenamt nehmen“.;-1,87;-2,00;-1,87;-1,00
Die Abteilung beruft sich darauf , dass die staatliche Polizeipolizei Louisiana forceforceorientiert , die staatliche Polizeikriminalität , die Polizeipolizei der Süduniversität und die Staatsbürgerinnen in den Ermittlungen , die zu Beginn des Wiederauffüllungsprozesses führen .;1,88;2,50;2,63;2,38
Sie fragte mich, es vertraulich zu halten, und ich hielt es vertraulich, wie sie mich darum bat.;-0,65;0,70;0,78;-0,26
"Am Sonntag stimmten die Einwohner Mazedoniens in einem Referendum darüber ab, ob sie ihren Namen in ""Republik Nordmazedonien"" ändern sollen. Dieser Schritt würde einen jahrzehntelangen Streit mit Griechenland beilegen, der Mazedoniens Beitrittsanträge zur Europäischen Union und zur NATO blockiert hatte.";-1,96;-1,00;-1,43;-2,00
Historisch gesehen, so sagten mir die alten Leute, mit denen ich gesprochen habe, dass an jeder Ecke eine Bar und eine Kirche stand, sagte Herr Adams.;0,48;0,35;1,65;0,57
"In einem weiteren Interview neben dem mit ihr auf der Titelseite der Zeitung griff ihr ehemaliger Außenminister Boris Johnson ihren sogenannten Chequers-Plan für den Brexit an und bezeichnete den Vorschlag, dass Großbritannien und die EU gegenseitig Zölle erheben sollten, als ""völlig absurd"".";-0,30;0,96;1,17;0,96
Die Blüten des Rotteichen erstrecken sich an der Küste des Staates von der nördlichen Pinellas-Region bis in die südlichen Lee-Grafschaften etwa 130 Meilen.;-1,48;-1,13;-1,22;-0,35
Schottlands unabhängige Schulen haben eine lange Tradition der akademischen Exzellenz, und diese hat sich auch im Jahr 2018 mit einer weiteren Reihe hervorragender Prüfungsergebnisse fortgesetzt, die nur durch individuelle und kollektive Erfolge in Sport, Kunst, Musik und anderen Bereichen des gesellschaftlichen Engagements gestärkt wird.;-1,39;0,09;-0,13;-1,09
"Über die Gründe für die Rückkehr war wenig bekannt, aber deutsche Medien nannten eine Reihe entscheidender ""Software- und Hardwaredefekte"", die das Kriegsschiff unbrauchbar machten, wenn es auf einer Kampfmission eingesetzt wurde.";-1,65;-0,26;-0,30;-1,35
Die Emotionen in dieser Angelegenheit sind äußerst stark, und die meisten Republikaner haben bereits öffentlich erklärt, dass sie mit einer Abstimmung vorwärts gehen wollten.;-0,91;-1,83;-1,26;-0,87
